;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Status;Prefixo;Placa;Garagem / Local;Endereço;Bairro;Cidade;Cep ;Fabricante;Modelo;Chassi;"Ano
Fabric./Model";Motor;RPM min;RPM max;Limite de opacidade
OK;219118;GCJ1A32;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8240LR032478;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219119;GHT8F13;Jaguaré;;;;;Volkswagen;24-260;9536J8241LR032523;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219120;GEQ8G64;Jaguaré;;;;;Volkswagen;24-260;9536J8241LR032635;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219121;FYS9I35;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8241LR033669;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219122;FYM4E95;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8242LR033082;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219123;GFZ8H22;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8243LR032135;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219124;FZT0B52;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8243LR032488;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219125;GDV2E01;Jaguaré;;;;;Volkswagen;24-260;9536J8243LR032555;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219126;FXW1E35;Jaguaré;;;;;Volkswagen;24-260;9536J8243LR032975;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219127;FXB1C45;Jaguaré;;;;;Volkswagen;24-260;9536J8243LR033057;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219128;EWW2H45;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8244LR033004;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219129;FDD3E82;Jaguaré;;;;;Volkswagen;24-260;9536J8245LR032427;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219130;FZM6H84;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8245LR032458;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219131;GIK6J61;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8246LR032100;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219132;FHE0B67;Jaguaré;;;;;Volkswagen;24-260;9536J8247LR032509;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219133;FIY7B23;Jaguaré;;;;;Volkswagen;24-260;9536J8248LR032289;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219134;FOA5D04;Jaguaré;;;;;Volkswagen;24-260;9536J8248LR032499;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219135;DDS5G92;Jaguaré;;;;;Volkswagen;24-260;9536J8249LR032222;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219136;FWP6J03;Jaguaré;;;;;Volkswagen;24-260;9536J8249LR032575;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219137;GFT0E92;Jaguaré;;;;;Volkswagen;24-260;9536J8249LR033032;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219138;DZA8B02;Jaguaré;;;;;Volkswagen;24-260;9536J8249LR032916;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219139;EBV8I91;Jaguaré;;;;;Volkswagen;17-190;9536E8240LR035983;2019/2020;Cummins ISB;700;2500;1,5 m⁻¹
;219140;FFD0H82;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-190;9536E8244LR035985;2019/2020;Cummins ISB;700;2500;1,5 m⁻¹
OK;220000;GKD7F91;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J824XMR100755;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220001;GED8E24;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8248MR100687;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220002;GIF5G63;Jaguaré;;;;;Volkswagen;24-260;9536J8249LR032902;2020/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220008;FNX4E52;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8245MR101974;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220009;FXN7H03;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8248MR101936;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220010;FKM6J41;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8244MR101917;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220011;GCH4B77;Jaguaré;;;;;Volkswagen;17-260;9536J8244MR101996;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220012;FPN4J42;Jaguaré;;;;;Volkswagen;17-260;9536J8241MR101986;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220013;FZB4C21;Jaguaré;;;;;Volkswagen;17-260;9536J8242MR102015;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220014;GCN1D82;Jaguaré;;;;;Volkswagen;17-260;9536J8243MR102279;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220015;FSO4H76;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8243MR102329;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220016;FHH9H06;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8243MR102430;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220017;FVD2I34;Jaguaré;;;;;Volkswagen;17-260;9536J8248MR102794;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220018;FYS1D52;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;17-260;9536J8244MR102081;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220019;FWH2D32;Jaguaré;;;;;Volkswagen;17-260;9536J8248MR102150;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220020;FCM8A73;Jaguaré;;;;;Volkswagen;17-260;9536J8243MR102444;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220021;FKP4G98;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8246MR101790;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220022;GJJ3A22;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8245MR102123;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220023;FNK4G34;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8247MR102138;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220024;GJZ0G41;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8240MR101851;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220025;FGA9F62;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8244MR101870;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220026;FPT6F83;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8248MR102228;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
